product_id,rank,region,currency,price,price_max,name,image_url,link,stars,reviews,category,catched_at
MLB710107715,1,BR,BRL,89.0,,Kit De Neonatos Para Alimentação De Animais Exóticos,http://mlb-s2-p.mlstatic.com/816912-MLB29404248118_022019-I.jpg,https://produto.mercadolivre.com.br/MLB-710107715-kit-de-neonatos-para-alimentaco-de-animais-exoticos-_JM,5,5,animais,2020-07-09 18:10:48
MLB710107715,1,BR,BRL,89.0,,Kit De Neonatos Para Alimentação De Animais Exóticos,http://mlb-s2-p.mlstatic.com/816912-MLB29404248118_022019-I.jpg,https://produto.mercadolivre.com.br/MLB-710107715-kit-de-neonatos-para-alimentaco-de-animais-exoticos-_JM,5,5,animais,2020-07-09 20:17:40
MLB710107715,1,BR,BRL,89.0,,Kit De Neonatos Para Alimentação De Animais Exóticos,http://mlb-s2-p.mlstatic.com/816912-MLB29404248118_022019-I.jpg,https://produto.mercadolivre.com.br/MLB-710107715-kit-de-neonatos-para-alimentaco-de-animais-exoticos-_JM,5,5,animais,2020-07-09 22:24:55
MLB710107715,1,BR,BRL,89.0,,Kit De Neonatos Para Alimentação De Animais Exóticos,http://mlb-s2-p.mlstatic.com/816912-MLB29404248118_022019-I.jpg,https://produto.mercadolivre.com.br/MLB-710107715-kit-de-neonatos-para-alimentaco-de-animais-exoticos-_JM,5,5,animais,2020-08-09 00:19:09
MLB710107715,1,BR,BRL,89.0,,Kit De Neonatos Para Alimentação De Animais Exóticos,http://mlb-s2-p.mlstatic.com/816912-MLB29404248118_022019-I.jpg,https://produto.mercadolivre.com.br/MLB-710107715-kit-de-neonatos-para-alimentaco-de-animais-exoticos-_JM,5,5,animais,2020-08-09 02:13:17
MLB1302337671,1,BR,BRL,55.0,,100 Caixinhas Com Visor Para Canecas De Porcelana Até 325m,http://mlb-s2-p.mlstatic.com/895413-MLB31933115236_082019-I.jpg,https://produto.mercadolivre.com.br/MLB-1302337671-100-caixinhas-com-visor-para-canecas-de-porcelana-ate-325m-_JM,10,10,arte papelaria e armarinho,2020-07-09 16:08:45
MLB1279313562,1,BR,BRL,60.97,,100 Pieces Redondo Papel Quilting Modelos Para Artes De Cost,http://mlb-s1-p.mlstatic.com/668198-MLM32220140045_092019-I.jpg,https://produto.mercadolivre.com.br/MLB-1279313562-100-pieces-redondo-papel-quilting-modelos-para-artes-de-cost-_JM,0,0,arte papelaria e armarinho,2020-07-09 18:09:12
MLB1279313562,1,BR,BRL,60.97,,100 Pieces Redondo Papel Quilting Modelos Para Artes De Cost,http://mlb-s1-p.mlstatic.com/668198-MLM32220140045_092019-I.jpg,https://produto.mercadolivre.com.br/MLB-1279313562-100-pieces-redondo-papel-quilting-modelos-para-artes-de-cost-_JM,0,0,arte papelaria e armarinho,2020-07-09 20:15:42
MLB1279313562,1,BR,BRL,60.97,,100 Pieces Redondo Papel Quilting Modelos Para Artes De Cost,http://mlb-s1-p.mlstatic.com/668198-MLM32220140045_092019-I.jpg,https://produto.mercadolivre.com.br/MLB-1279313562-100-pieces-redondo-papel-quilting-modelos-para-artes-de-cost-_JM,0,0,arte papelaria e armarinho,2020-07-09 22:23:21
MLB1279313562,1,BR,BRL,60.97,,100 Pieces Redondo Papel Quilting Modelos Para Artes De Cost,http://mlb-s1-p.mlstatic.com/668198-MLM32220140045_092019-I.jpg,https://produto.mercadolivre.com.br/MLB-1279313562-100-pieces-redondo-papel-quilting-modelos-para-artes-de-cost-_JM,0,0,arte papelaria e armarinho,2020-08-09 00:17:41
MLB1279313562,1,BR,BRL,60.97,,100 Pieces Redondo Papel Quilting Modelos Para Artes De Cost,http://mlb-s1-p.mlstatic.com/668198-MLM32220140045_092019-I.jpg,https://produto.mercadolivre.com.br/MLB-1279313562-100-pieces-redondo-papel-quilting-modelos-para-artes-de-cost-_JM,0,0,arte papelaria e armarinho,2020-08-09 02:11:49
MLB1430590142,1,BR,BRL,349.0,,Fone De Ouvido Akg K52 Matte Black,http://mlb-s1-p.mlstatic.com/937322-MLA40751012910_022020-I.jpg,https://www.mercadolivre.com.br/fone-de-ouvido-akg-k52-matte-black/p/MLB6344408,0,0,audio e video,2020-07-09 15:56:23
MLB1430590142,1,BR,BRL,349.0,,Fone De Ouvido Akg K52 Matte Black,http://mlb-s1-p.mlstatic.com/937322-MLA40751012910_022020-I.jpg,https://www.mercadolivre.com.br/fone-de-ouvido-akg-k52-matte-black/p/MLB6344408,0,0,audio e video,2020-07-09 17:55:48
MLB1430590142,1,BR,BRL,349.0,,Fone De Ouvido Akg K52 Matte Black,http://mlb-s1-p.mlstatic.com/937322-MLA40751012910_022020-I.jpg,https://www.mercadolivre.com.br/fone-de-ouvido-akg-k52-matte-black/p/MLB6344408,0,0,audio e video,2020-07-09 19:56:54
MLB1430590142,1,BR,BRL,359.0,,Fone De Ouvido Akg K52 Matte Black,http://mlb-s1-p.mlstatic.com/937322-MLA40751012910_022020-I.jpg,https://www.mercadolivre.com.br/fone-de-ouvido-akg-k52-matte-black/p/MLB6344408,0,0,audio e video,2020-07-09 22:10:46
MLB1430590142,1,BR,BRL,359.0,,Fone De Ouvido Akg K52 Matte Black,http://mlb-s1-p.mlstatic.com/937322-MLA40751012910_022020-I.jpg,https://www.mercadolivre.com.br/fone-de-ouvido-akg-k52-matte-black/p/MLB6344408,0,0,audio e video,2020-08-09 00:05:08
MLB1430590142,1,BR,BRL,359.0,,Fone De Ouvido Akg K52 Matte Black,http://mlb-s1-p.mlstatic.com/937322-MLA40751012910_022020-I.jpg,https://www.mercadolivre.com.br/fone-de-ouvido-akg-k52-matte-black/p/MLB6344408,0,0,audio e video,2020-08-09 01:59:22
MLB1629953295,1,BR,BRL,91.0,,Fórmula Infantil Em Pó Danone Neocate Lcp Em Lata De 400g,http://mlb-s2-p.mlstatic.com/642994-MLA43397955275_092020-I.jpg,https://www.mercadolivre.com.br/formula-infantil-em-po-danone-neocate-lcp-em-lata-de-400g/p/MLB9243780,0,0,bebe,2020-07-09 15:51:57
MLB1629953295,1,BR,BRL,91.0,,Fórmula Infantil Em Pó Danone Neocate Lcp Em Lata De 400g,http://mlb-s2-p.mlstatic.com/642994-MLA43397955275_092020-I.jpg,https://www.mercadolivre.com.br/formula-infantil-em-po-danone-neocate-lcp-em-lata-de-400g/p/MLB9243780,0,0,bebe,2020-07-09 17:51:08
MLB1629953295,1,BR,BRL,91.0,,Fórmula Infantil Em Pó Danone Neocate Lcp Em Lata De 400g,http://mlb-s2-p.mlstatic.com/642994-MLA43397955275_092020-I.jpg,https://www.mercadolivre.com.br/formula-infantil-em-po-danone-neocate-lcp-em-lata-de-400g/p/MLB9243780,0,0,bebe,2020-07-09 19:51:44
